Cooccurences from the list of overlap are summed to count the score.
bar.40081; predicted_sense: [65453, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40189; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40193; predicted_sense: [48034, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40195; predicted_sense: [20643, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40196; predicted_sense: [36300, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40208; predicted_sense: [64460, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40211; predicted_sense: [8646, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40214; predicted_sense: [45613, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40216; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40217; predicted_sense: [4723, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40221; predicted_sense: [34862, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40226; predicted_sense: [33767, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40229; predicted_sense: [171332, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40234; predicted_sense: [9596, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40250; predicted_sense: [57472, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40252; predicted_sense: [40209, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40253; predicted_sense: [4842, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40255; predicted_sense: [184787, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40259; predicted_sense: [880, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-3;

bar.40261; predicted_sense: [59058, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40264; predicted_sense: [25806, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40267; predicted_sense: [36874, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40270; predicted_sense: [19537, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40271; predicted_sense: [41195, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40273; predicted_sense: [64225, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40274; predicted_sense: [91992, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40277; predicted_sense: [64849, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40279; predicted_sense: [104590, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40283; predicted_sense: [1954, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40286; predicted_sense: [73156, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40288; predicted_sense: [12807, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40289; predicted_sense: [15744, Synset('measure.n.07')]; correct_sense: bar-3;

bar.40292; predicted_sense: [135275, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40294; predicted_sense: [6917, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40295; predicted_sense: [8440, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40298; predicted_sense: [6513, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40300; predicted_sense: [13947, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40303; predicted_sense: [25976, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40304; predicted_sense: [5493, Synset('bar.v.01')]; correct_sense: bar-0;

bar.40311; predicted_sense: [320, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40313; predicted_sense: [25417, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40314; predicted_sense: [418, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40316; predicted_sense: [29120, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40320; predicted_sense: [5947, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40323; predicted_sense: [40939, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40328; predicted_sense: [3260, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40331; predicted_sense: [7567, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40332; predicted_sense: [14838, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40335; predicted_sense: [18529, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40341; predicted_sense: [3350, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40347; predicted_sense: [8666, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40349; predicted_sense: [17734, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40350; predicted_sense: [82154, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40358; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40360; predicted_sense: [118198, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40363; predicted_sense: [42707, Synset('stripe.n.05')]; correct_sense: bar-0;

bar.40367; predicted_sense: [12762, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40369; predicted_sense: [49247, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40372; predicted_sense: [4556, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40373; predicted_sense: [18291, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40381; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-5;

bar.40382; predicted_sense: [48826, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40384; predicted_sense: [12279, Synset('bar.n.07')]; correct_sense: bar-3;

bar.40387; predicted_sense: [12560, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40388; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40391; predicted_sense: [26918, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-5;

bar.40400; predicted_sense: [20770, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40401; predicted_sense: [3602, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40409; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40410; predicted_sense: [30131, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40412; predicted_sense: [46694, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40413; predicted_sense: [6951, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40416; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40418; predicted_sense: [8508, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40420; predicted_sense: [3060, Synset('bar.n.03')]; correct_sense: bar-0;

bar.30005; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.30010; predicted_sense: [32002, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.30038; predicted_sense: [6154, Synset('bar.n.02')]; correct_sense: bar-0;

bar.30039; predicted_sense: [3791, Synset('bar.n.03')]; correct_sense: bar-0;

bar.30041; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

chair.40002; predicted_sense: [105052, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40003; predicted_sense: [27336, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40005; predicted_sense: [6578, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40008; predicted_sense: [279077, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40012; predicted_sense: [1363, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40013; predicted_sense: [213, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40015; predicted_sense: [7572, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40019; predicted_sense: [30990, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40020; predicted_sense: [20584, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40023; predicted_sense: [77245, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40025; predicted_sense: [99282, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40027; predicted_sense: [2031, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40030; predicted_sense: [30375, Synset('president.n.04')]; correct_sense: chair-0;

chair.40033; predicted_sense: [11715, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40034; predicted_sense: [4009, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40037; predicted_sense: [9033, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40039; predicted_sense: [38215, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40040; predicted_sense: [67200, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40047; predicted_sense: [12078, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40050; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40058; predicted_sense: [16247, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40062; predicted_sense: [6627, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40064; predicted_sense: [6578, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40066; predicted_sense: [5885, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40068; predicted_sense: [9029, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40071; predicted_sense: [304672, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40072; predicted_sense: [21604, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40075; predicted_sense: [15251, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40077; predicted_sense: [2472, Synset('president.n.04')]; correct_sense: chair-0;

chair.40080; predicted_sense: [46223, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40081; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40084; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40086; predicted_sense: [29200, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40087; predicted_sense: [21491, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40090; predicted_sense: [29022, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40094; predicted_sense: [20758, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40096; predicted_sense: [32144, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40099; predicted_sense: [45833, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40100; predicted_sense: [1606, Synset('president.n.04')]; correct_sense: chair-0;

chair.40105; predicted_sense: [313, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40108; predicted_sense: [101211, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40111; predicted_sense: [23990, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40112; predicted_sense: [22349, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40114; predicted_sense: [13860, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40115; predicted_sense: [116259, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40117; predicted_sense: [426, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40120; predicted_sense: [63447, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40121; predicted_sense: [7348, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40124; predicted_sense: [17306, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40125; predicted_sense: [39682, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40128; predicted_sense: [46510, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40129; predicted_sense: [34213, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40131; predicted_sense: [2472, Synset('president.n.04')]; correct_sense: chair-0;

chair.40132; predicted_sense: [1988, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40135; predicted_sense: [69268, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40136; predicted_sense: [19963, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40139; predicted_sense: [19764, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40142; predicted_sense: [28955, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40143; predicted_sense: [7572, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40146; predicted_sense: [42727, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40147; predicted_sense: [7009, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40149; predicted_sense: [11894, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40150; predicted_sense: [23980, Synset('electric_chair.n.01')]; correct_sense: chair-0;

chair.40152; predicted_sense: [100, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40153; predicted_sense: [29923, Synset('president.n.04')]; correct_sense: chair-0;

chair.40155; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40156; predicted_sense: [1988, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40158; predicted_sense: [10783, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40159; predicted_sense: [30488, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40161; predicted_sense: [4283, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40162; predicted_sense: [170, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40165; predicted_sense: [10020, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40166; predicted_sense: [2472, Synset('president.n.04')]; correct_sense: chair-0;

chair.40169; predicted_sense: [40668, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40171; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40174; predicted_sense: [247, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40175; predicted_sense: [5741, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40178; predicted_sense: [92558, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40182; predicted_sense: [12093, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40184; predicted_sense: [28001, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40187; predicted_sense: [29321, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40189; predicted_sense: [18282, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40190; predicted_sense: [23488, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40192; predicted_sense: [28417, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40196; predicted_sense: [32441, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40198; predicted_sense: [1988, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40199; predicted_sense: [50595, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40201; predicted_sense: [37570, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40205; predicted_sense: [222, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40208; predicted_sense: [14791, Synset('president.n.04')]; correct_sense: chair-0;

chair.40210; predicted_sense: [182, Synset('moderate.v.01')]; correct_sense: chair-0;

chair.40211; predicted_sense: [28687, Synset('president.n.04')]; correct_sense: chair-0;

chair.40213; predicted_sense: [13324, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40214; predicted_sense: [3708, Synset('president.n.04')]; correct_sense: chair-0;

chair.40216; predicted_sense: [288, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40221; predicted_sense: [29425, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40224; predicted_sense: [20079, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40226; predicted_sense: [15161, Synset('president.n.04')]; correct_sense: chair-0;

chair.40227; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.30004; predicted_sense: [14339, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30005; predicted_sense: [417, Synset('chair.v.01')]; correct_sense: chair-0;

chair.30008; predicted_sense: [12153, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30009; predicted_sense: [124, Synset('president.n.04')]; correct_sense: chair-0;

chair.30011; predicted_sense: [63911, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30012; predicted_sense: [74128, Synset('chair.v.01')]; correct_sense: chair-0;

Accuracy: 0.484304932735426 ; 108 / 223
