Multiple values both on context and signature
bar.40004; predicted_sense: [25407, Synset('bar.n.02')]; correct_sense: bar-0;
chair.40039; predicted_sense: [75194, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40040; predicted_sense: [67200, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40047; predicted_sense: [12078, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40050; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40058; predicted_sense: [32494, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40062; predicted_sense: [7971, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40064; predicted_sense: [9867, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40066; predicted_sense: [5885, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40068; predicted_sense: [9029, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40071; predicted_sense: [481281, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40072; predicted_sense: [33498, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40075; predicted_sense: [27145, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40077; predicted_sense: [3254, Synset('electric_chair.n.01')]; correct_sense: chair-0;

chair.40080; predicted_sense: [83793, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40081; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40084; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40086; predicted_sense: [41094, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40087; predicted_sense: [22875, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40090; predicted_sense: [31790, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40094; predicted_sense: [40522, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40096; predicted_sense: [32144, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40099; predicted_sense: [91297, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40100; predicted_sense: [1606, Synset('president.n.04')]; correct_sense: chair-0;

chair.40105; predicted_sense: [397, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40108; predicted_sense: [147490, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40111; predicted_sense: [35884, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40112; predicted_sense: [33409, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40114; predicted_sense: [15244, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40115; predicted_sense: [162538, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40117; predicted_sense: [426, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40120; predicted_sense: [112911, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40121; predicted_sense: [10637, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40124; predicted_sense: [17306, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40125; predicted_sense: [79210, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40128; predicted_sense: [57570, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40129; predicted_sense: [57167, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40131; predicted_sense: [2472, Synset('president.n.04')]; correct_sense: chair-0;

chair.40132; predicted_sense: [2982, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40135; predicted_sense: [106838, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40136; predicted_sense: [39727, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40139; predicted_sense: [39528, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40142; predicted_sense: [36849, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40143; predicted_sense: [9867, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40146; predicted_sense: [82255, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40147; predicted_sense: [7009, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40149; predicted_sense: [23788, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40150; predicted_sense: [39496, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40152; predicted_sense: [100, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40153; predicted_sense: [29923, Synset('president.n.04')]; correct_sense: chair-0;

chair.40155; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40156; predicted_sense: [2982, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40158; predicted_sense: [10783, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40159; predicted_sense: [30488, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40161; predicted_sense: [4283, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40162; predicted_sense: [170, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40165; predicted_sense: [10020, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40166; predicted_sense: [2472, Synset('president.n.04')]; correct_sense: chair-0;

chair.40169; predicted_sense: [72683, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40171; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40174; predicted_sense: [247, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40175; predicted_sense: [5741, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40178; predicted_sense: [138837, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40182; predicted_sense: [23987, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40184; predicted_sense: [35895, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40187; predicted_sense: [29321, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40189; predicted_sense: [18282, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40190; predicted_sense: [43252, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40192; predicted_sense: [48181, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40196; predicted_sense: [56229, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40198; predicted_sense: [2982, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40199; predicted_sense: [55718, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40201; predicted_sense: [75140, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40205; predicted_sense: [222, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40208; predicted_sense: [23851, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40210; predicted_sense: [273, Synset('moderate.v.01')]; correct_sense: chair-0;

chair.40211; predicted_sense: [28687, Synset('president.n.04')]; correct_sense: chair-0;

chair.40213; predicted_sense: [13324, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40214; predicted_sense: [6767, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40216; predicted_sense: [288, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40221; predicted_sense: [50197, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40224; predicted_sense: [36829, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40226; predicted_sense: [15161, Synset('president.n.04')]; correct_sense: chair-0;

chair.40227; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.30004; predicted_sense: [14339, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30005; predicted_sense: [417, Synset('chair.v.01')]; correct_sense: chair-0;

chair.30008; predicted_sense: [20591, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30009; predicted_sense: [124, Synset('president.n.04')]; correct_sense: chair-0;

chair.30011; predicted_sense: [63911, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30012; predicted_sense: [148086, Synset('chair.v.01')]; correct_sense: chair-0;

Accuracy: 0.45491803278688525 ; 111 / 244
