Description about the run
bar.40004; predicted_sense: [16938, Synset('barroom.n.01')]; correct_sense: bar-0;
chair.40039; predicted_sense: [38215, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40040; predicted_sense: [67200, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40047; predicted_sense: [6337, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40050; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40058; predicted_sense: [16247, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40062; predicted_sense: [6627, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40064; predicted_sense: [6578, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40066; predicted_sense: [5885, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40068; predicted_sense: [9029, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40071; predicted_sense: [96806, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40072; predicted_sense: [21604, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40075; predicted_sense: [15251, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40077; predicted_sense: [1627, Synset('electric_chair.n.01')]; correct_sense: chair-0;

chair.40080; predicted_sense: [46223, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40081; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40084; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40086; predicted_sense: [20547, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40087; predicted_sense: [21491, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40090; predicted_sense: [27638, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40094; predicted_sense: [20758, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40096; predicted_sense: [32144, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40099; predicted_sense: [45833, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40100; predicted_sense: [1606, Synset('president.n.04')]; correct_sense: chair-0;

chair.40105; predicted_sense: [313, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40108; predicted_sense: [101211, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40111; predicted_sense: [23990, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40112; predicted_sense: [22349, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40114; predicted_sense: [8119, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40115; predicted_sense: [116259, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40117; predicted_sense: [213, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40120; predicted_sense: [63447, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40121; predicted_sense: [7348, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40124; predicted_sense: [8653, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40125; predicted_sense: [19918, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40128; predicted_sense: [46510, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40129; predicted_sense: [34213, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40131; predicted_sense: [1236, Synset('president.n.04')]; correct_sense: chair-0;

chair.40132; predicted_sense: [1988, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40135; predicted_sense: [69268, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40136; predicted_sense: [19963, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40139; predicted_sense: [19764, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40142; predicted_sense: [28955, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40143; predicted_sense: [7572, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40146; predicted_sense: [29923, Synset('president.n.04')]; correct_sense: chair-0;

chair.40147; predicted_sense: [7009, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40149; predicted_sense: [11894, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40150; predicted_sense: [23980, Synset('electric_chair.n.01')]; correct_sense: chair-0;

chair.40152; predicted_sense: [100, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40153; predicted_sense: [29923, Synset('president.n.04')]; correct_sense: chair-0;

chair.40155; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40156; predicted_sense: [1988, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40158; predicted_sense: [10783, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40159; predicted_sense: [30488, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40161; predicted_sense: [4283, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40162; predicted_sense: [170, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40165; predicted_sense: [10020, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40166; predicted_sense: [1236, Synset('president.n.04')]; correct_sense: chair-0;

chair.40169; predicted_sense: [40668, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40171; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40174; predicted_sense: [247, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40175; predicted_sense: [5741, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40178; predicted_sense: [92558, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40182; predicted_sense: [12093, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40184; predicted_sense: [28001, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40187; predicted_sense: [12015, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40189; predicted_sense: [9141, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40190; predicted_sense: [23488, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40192; predicted_sense: [28417, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40196; predicted_sense: [20547, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40198; predicted_sense: [1988, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40199; predicted_sense: [50396, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40201; predicted_sense: [37570, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40205; predicted_sense: [222, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40208; predicted_sense: [14791, Synset('president.n.04')]; correct_sense: chair-0;

chair.40210; predicted_sense: [182, Synset('moderate.v.01')]; correct_sense: chair-0;

chair.40211; predicted_sense: [28687, Synset('president.n.04')]; correct_sense: chair-0;

chair.40213; predicted_sense: [13324, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40214; predicted_sense: [3498, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40216; predicted_sense: [144, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40221; predicted_sense: [29425, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40224; predicted_sense: [16842, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40226; predicted_sense: [15161, Synset('president.n.04')]; correct_sense: chair-0;

chair.40227; predicted_sense: [6660, Synset('chair.n.05')]; correct_sense: chair-0;

chair.30004; predicted_sense: [14339, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30005; predicted_sense: [417, Synset('chair.v.01')]; correct_sense: chair-0;

chair.30008; predicted_sense: [12153, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30009; predicted_sense: [124, Synset('president.n.04')]; correct_sense: chair-0;

chair.30011; predicted_sense: [63911, Synset('chair.n.01')]; correct_sense: chair-0;

chair.30012; predicted_sense: [37149, Synset('chair.v.01')]; correct_sense: chair-0;

day.40002; predicted_sense: [482674, Synset('day.n.01')]; correct_sense: day-0;

day.40003; predicted_sense: [43123, Synset('day.n.03')]; correct_sense: day-0;

day.40006; predicted_sense: [99903, Synset('day.n.05')]; correct_sense: day-3;

day.40011; predicted_sense: [183461, Synset('day.n.04')]; correct_sense: day-3;

day.40014; predicted_sense: [244121, Synset('day.n.03')]; correct_sense: day-0;

day.40016; predicted_sense: [944175, Synset('day.n.03')]; correct_sense: day-0;

day.40017; predicted_sense: [533539, Synset('day.n.03')]; correct_sense: day-3;

day.40020; predicted_sense: [1327327, Synset('day.n.02')]; correct_sense: day-0;

day.40023; predicted_sense: [3904, Synset('day.n.03')]; correct_sense: day-0;

day.40028; predicted_sense: [393038, Synset('day.n.03')]; correct_sense: day-1;

day.40032; predicted_sense: [67426, Synset('day.n.03')]; correct_sense: day-0;

day.40034; predicted_sense: [97120, Synset('day.n.05')]; correct_sense: day-0;

day.40037; predicted_sense: [731962, Synset('day.n.02')]; correct_sense: day-0;

day.40040; predicted_sense: [153881, Synset('day.n.03')]; correct_sense: day-0;

day.40041; predicted_sense: [1379431, Synset('day.n.03')]; correct_sense: day-3;

day.40044; predicted_sense: [1345917, Synset('day.n.05')]; correct_sense: day-1;

day.40046; predicted_sense: [280546, Synset('day.n.01')]; correct_sense: day-0;

day.40049; predicted_sense: [35715, Synset('day.n.04')]; correct_sense: day-0;

day.40050; predicted_sense: [44807, Synset('day.n.03')]; correct_sense: day-3;

day.40053; predicted_sense: [16216, Synset('day.n.03')]; correct_sense: day-0;

day.40055; predicted_sense: [3326877, Synset('day.n.02')]; correct_sense: day-0;

day.40058; predicted_sense: [7030, Synset('sidereal_day.n.01')]; correct_sense: day-0;

day.40059; predicted_sense: [227908, Synset('day.n.01')]; correct_sense: day-0;

day.40062; predicted_sense: [721068, Synset('day.n.03')]; correct_sense: day-0;

day.40065; predicted_sense: [485350, Synset('day.n.02')]; correct_sense: day-0;

day.40068; predicted_sense: [4434033, Synset('day.n.02')]; correct_sense: day-0;

day.40069; predicted_sense: [1345917, Synset('day.n.05')]; correct_sense: day-0;

day.40072; predicted_sense: [23490, Synset('day.n.01')]; correct_sense: day-0;

day.40074; predicted_sense: [530516, Synset('day.n.07')]; correct_sense: day-0;

day.40076; predicted_sense: [610534, Synset('day.n.05')]; correct_sense: day-3;

day.40077; predicted_sense: [220049, Synset('day.n.03')]; correct_sense: day-0;

day.40079; predicted_sense: [26142, Synset('day.n.05')]; correct_sense: day-1;

day.40080; predicted_sense: [147435, Synset('day.n.03')]; correct_sense: day-1;

day.40083; predicted_sense: [275354, Synset('day.n.01')]; correct_sense: day-0;

day.40084; predicted_sense: [167743, Synset('day.n.03')]; correct_sense: day-0;

day.40086; predicted_sense: [634651, Synset('day.n.03')]; correct_sense: day-0;

day.40090; predicted_sense: [49101, Synset('day.n.04')]; correct_sense: day-0;

day.40096; predicted_sense: [200165, Synset('day.n.02')]; correct_sense: day-0;

day.40098; predicted_sense: [1339864, Synset('day.n.02')]; correct_sense: day-3;

day.40100; predicted_sense: [210977, Synset('day.n.05')]; correct_sense: day-0;

day.40107; predicted_sense: [1345990, Synset('day.n.02')]; correct_sense: day-0;

day.40109; predicted_sense: [73022, Synset('day.n.03')]; correct_sense: day-0;

day.40111; predicted_sense: [758032, Synset('day.n.05')]; correct_sense: day-3;

day.40114; predicted_sense: [46217, Synset('day.n.03')]; correct_sense: day-1;

day.40116; predicted_sense: [1311775, Synset('day.n.02')]; correct_sense: day-0;

day.40117; predicted_sense: [848079, Synset('day.n.05')]; correct_sense: day-0;

day.40122; predicted_sense: [412717, Synset('day.n.03')]; correct_sense: day-0;

day.40125; predicted_sense: [441160, Synset('day.n.03')]; correct_sense: day-0;

day.40129; predicted_sense: [1672476, Synset('day.n.02')]; correct_sense: day-1;

day.40132; predicted_sense: [3129951, Synset('day.n.02')]; correct_sense: day-0;

day.40136; predicted_sense: [917721, Synset('day.n.03')]; correct_sense: day-3;

day.40139; predicted_sense: [1435034, Synset('day.n.03')]; correct_sense: day-0;

day.40144; predicted_sense: [275354, Synset('day.n.01')]; correct_sense: day-3;

day.40146; predicted_sense: [539649, Synset('day.n.02')]; correct_sense: day-0;

day.40148; predicted_sense: [96338, Synset('day.n.09')]; correct_sense: day-0;

day.40149; predicted_sense: [2405124, Synset('day.n.03')]; correct_sense: day-1;

day.40156; predicted_sense: [488292, Synset('day.n.03')]; correct_sense: day-3;

day.40157; predicted_sense: [358896, Synset('day.n.02')]; correct_sense: day-3;

day.40160; predicted_sense: [214909, Synset('day.n.04')]; correct_sense: day-1;

day.40161; predicted_sense: [1250791, Synset('day.n.03')]; correct_sense: day-3;

day.40163; predicted_sense: [3228139, Synset('day.n.02')]; correct_sense: day-0;

day.40165; predicted_sense: [101901, Synset('day.n.05')]; correct_sense: day-0;

day.40168; predicted_sense: [555922, Synset('day.n.02')]; correct_sense: day-1;

day.40169; predicted_sense: [57281, Synset('day.n.04')]; correct_sense: day-3;

day.40172; predicted_sense: [70591, Synset('day.n.03')]; correct_sense: day-0;

day.40177; predicted_sense: [1497117, Synset('day.n.02')]; correct_sense: day-1;

day.40178; predicted_sense: [200825, Synset('day.n.03')]; correct_sense: day-0;

day.40181; predicted_sense: [523145, Synset('day.n.02')]; correct_sense: day-3;

day.40182; predicted_sense: [773753, Synset('day.n.03')]; correct_sense: day-0;

day.40185; predicted_sense: [483120, Synset('day.n.01')]; correct_sense: day-0;

day.40186; predicted_sense: [3818734, Synset('day.n.02')]; correct_sense: day-0;

day.40189; predicted_sense: [116685, Synset('day.n.03')]; correct_sense: day-0;

day.40192; predicted_sense: [478842, Synset('day.n.03')]; correct_sense: day-3;

day.40195; predicted_sense: [65830, Synset('day.n.09')]; correct_sense: day-0;

day.40199; predicted_sense: [257077, Synset('day.n.05')]; correct_sense: day-0;

day.40202; predicted_sense: [289284, Synset('day.n.03')]; correct_sense: day-0;

day.40204; predicted_sense: [1491617, Synset('day.n.02')]; correct_sense: day-0;

day.40206; predicted_sense: [610534, Synset('day.n.05')]; correct_sense: day-3;

day.40208; predicted_sense: [813654, Synset('day.n.03')]; correct_sense: day-0;

day.40211; predicted_sense: [267999, Synset('day.n.02')]; correct_sense: day-0;

day.40212; predicted_sense: [376281, Synset('day.n.02')]; correct_sense: day-1;

day.40215; predicted_sense: [322097, Synset('day.n.03')]; correct_sense: day-0;

day.40216; predicted_sense: [3216014, Synset('day.n.01')]; correct_sense: day-0;

day.40220; predicted_sense: [309588, Synset('day.n.01')]; correct_sense: day-0;

day.40222; predicted_sense: [323847, Synset('day.n.03')]; correct_sense: day-0;

day.40223; predicted_sense: [173112, Synset('day.n.03')]; correct_sense: day-0;

day.40225; predicted_sense: [770491, Synset('day.n.05')]; correct_sense: day-3;

day.40228; predicted_sense: [198079, Synset('day.n.01')]; correct_sense: day-0;

day.40231; predicted_sense: [213575, Synset('day.n.03')]; correct_sense: day-0;

day.40232; predicted_sense: [3379518, Synset('day.n.01')]; correct_sense: day-3;

day.40234; predicted_sense: [438505, Synset('day.n.05')]; correct_sense: day-0;

